2135	1
2235	1
2270	1
2326	1
2382	1
2387	1
2395	1
2440	1
2450	1
2459	1
2466	1
2474	1
2501	1
2512	1
2516	1
2525	1
2528	1
2537	1
2545	1
2558	1
2567	1
2569	1
2591	1
2597	1
2598	2
2609	1
2611	1
2617	1
2630	1
2645	1
2655	1
2661	1
2662	2
2667	1
2669	1
2670	1
2671	1
2672	1
2674	1
2675	2
2676	3
2680	1
2681	1
2688	1
2701	1
2702	1
2703	1
2705	2
2711	1
2714	1
2718	1
2719	1
2731	1
2732	2
2739	1
2744	1
2745	1
2748	2
2763	1
2765	1
2768	1
2769	1
2774	1
2777	4
2778	1
2781	2
2784	1
2788	1
2790	2
2791	1
2794	1
2798	1
2801	1
2805	1
2806	1
2811	1
2814	1
2818	1
2819	1
2820	1
2821	1
2826	1
2828	1
2830	1
2834	1
2840	1
2844	1
2846	1
2851	2
2852	1
2853	1
2854	1
2860	1
2863	1
2866	1
2870	1
2874	1
2881	2
2884	1
2885	2
2886	1
2889	1
2890	1
2895	2
2901	1
2903	1
2904	2
2910	1
2912	1
2915	2
2918	1
2919	1
2925	3
2926	1
2934	1
2936	2
2940	1
2941	1
2942	1
2945	1
2946	1
2949	1
2950	1
2951	2
2955	3
2956	1
2960	1
2961	1
2964	2
2965	1
2968	3
2970	1
2977	1
2980	1
2986	1
2987	2
2992	2
2994	2
3001	2
3004	1
3005	1
3007	1
3010	1
3011	1
3016	1
3017	1
3019	1
3022	1
3023	2
3025	1
3026	1
3029	2
3030	2
3032	1
3035	2
3036	1
3037	2
3038	1
3040	2
3045	1
3047	2
3048	2
3049	1
3050	1
3051	2
3053	2
3055	1
3057	1
3060	1
3061	3
3062	2
3064	1
3065	3
3067	1
3071	3
3072	1
3076	1
3077	1
3081	1
3082	1
3083	1
3084	1
3085	1
3090	1
3091	2
3093	1
3094	2
3101	1
3102	1
3104	2
3105	3
3106	2
3108	2
3109	1
3110	1
3111	2
3112	2
3116	1
3119	1
3120	3
3123	2
3124	2
3127	1
3129	2
3130	1
3131	1
3132	1
3133	2
3135	1
3136	1
3138	1
3143	2
3144	3
3145	1
3148	2
3150	3
3151	1
3152	1
3153	1
3154	2
3155	3
3156	1
3157	2
3158	3
3162	1
3167	2
3169	1
3170	2
3171	3
3173	3
3176	1
3177	2
3178	1
3179	2
3180	1
3181	1
3182	2
3185	3
3187	1
3189	1
3190	1
3191	5
3192	2
3193	1
3196	1
3197	1
3198	2
3199	1
3200	3
3202	2
3203	1
3205	1
3206	3
3207	1
3209	2
3210	3
3212	2
3213	3
3215	2
3216	1
3217	2
3218	1
3219	3
3220	1
3221	2
3222	1
3223	2
3226	1
3227	3
3229	1
3232	1
3235	2
3236	1
3237	1
3238	1
3239	3
3240	3
3241	1
3242	1
3247	1
3248	1
3249	1
3250	1
3251	4
3252	3
3253	2
3255	1
3256	2
3257	2
3259	1
3260	2
3261	3
3262	3
3263	2
3264	1
3265	4
3266	3
3267	1
3268	2
3269	2
3270	3
3272	1
3273	1
3276	1
3277	1
3278	1
3279	1
3280	1
3281	1
3282	2
3284	4
3285	3
3286	3
3287	1
3288	1
3289	1
3292	1
3293	3
3294	2
3296	1
3298	1
3300	3
3301	1
3302	1
3303	1
3304	1
3307	4
3309	1
3310	3
3311	1
3312	2
3314	1
3316	1
3317	1
3318	1
3319	1
3320	2
