2031	1
2084	1
2105	1
2108	1
2124	1
2138	1
2205	1
2210	1
2218	1
2219	1
2242	1
2244	1
2267	1
2278	1
2281	1
2284	1
2285	1
2292	1
2298	1
2300	1
2310	1
2314	1
2324	1
2343	1
2346	1
2348	1
2349	1
2351	1
2353	2
2356	1
2360	2
2361	1
2371	1
2372	1
2374	1
2377	1
2378	3
2380	1
2386	1
2391	1
2400	1
2401	1
2403	1
2411	1
2415	1
2421	1
2423	1
2424	2
2427	1
2431	1
2437	1
2441	1
2447	1
2448	1
2449	1
2453	1
2454	1
2455	1
2461	1
2466	1
2469	1
2472	2
2475	1
2479	1
2480	1
2481	1
2487	1
2491	1
2494	1
2496	1
2498	2
2505	1
2506	1
2508	1
2511	1
2512	2
2514	1
2516	1
2518	2
2521	1
2523	1
2526	1
2527	1
2531	2
2533	1
2534	1
2541	1
2545	2
2549	1
2552	1
2555	1
2560	1
2561	2
2565	1
2566	2
2568	2
2571	2
2573	2
2574	1
2575	1
2577	1
2580	1
2583	1
2586	1
2588	1
2592	2
2593	1
2595	1
2596	1
2597	1
2598	1
2600	2
2606	1
2610	1
2615	1
2616	1
2617	2
2622	1
2623	1
2624	3
2628	1
2631	1
2634	1
2636	1
2637	2
2638	1
2640	1
2641	2
2648	1
2651	2
2652	1
2654	1
2657	2
2659	1
2660	3
2665	1
2670	2
2675	1
2679	2
2683	1
2684	1
2687	1
2692	1
2693	1
2696	1
2698	1
2702	1
2703	3
2706	1
2707	3
2708	1
2711	1
2716	1
2720	2
2723	1
2725	1
2726	2
2730	2
2732	1
2736	2
2738	1
2739	1
2741	2
2743	1
2745	1
2748	1
2749	1
2750	2
2751	2
2753	1
2754	1
2756	1
2759	1
2761	1
2766	1
2768	1
2770	1
2771	1
2772	1
2773	1
2775	1
2776	2
2777	2
2779	1
2780	1
2781	1
2782	1
2787	1
2788	1
2792	1
2794	1
2797	3
2798	1
2799	2
2800	2
2801	2
2802	1
2804	1
2805	1
2807	1
2808	2
2809	1
2810	1
2812	1
2813	1
2815	2
2816	2
2818	1
2819	1
2822	2
2823	1
2826	2
2827	1
2828	1
2829	1
2834	1
2835	1
2836	1
2837	1
2838	1
2839	2
2841	2
2842	3
2844	1
2845	1
2846	1
2847	3
2854	1
2855	1
2856	3
2857	1
2859	1
2860	2
2862	1
2864	3
2865	1
2867	2
2870	2
2871	1
2872	1
2875	1
2877	1
2879	2
2881	1
2885	1
2886	1
2887	3
2888	1
2889	2
2890	1
2891	2
2892	1
2893	1
2895	1
2896	3
2897	2
2898	2
2899	2
2900	1
2904	2
2905	1
2906	1
2907	1
2911	3
2913	2
2915	2
2916	1
2917	1
2918	2
2919	1
2920	1
2921	1
2922	1
2923	2
2926	4
2928	1
2929	1
2930	1
2931	4
2935	1
2938	1
2940	4
2941	1
2943	1
2946	1
2947	1
2948	1
2951	2
2952	1
2953	1
2955	2
2958	2
2960	2
2961	1
2965	2
2967	1
2972	1
2973	1
2975	1
2977	1
2979	1
2980	1
2981	1
2985	3
2986	2
2987	2
2988	1
2990	1
2991	1
2993	2
2994	3
2996	1
2999	2
3002	2
3004	1
3006	2
3008	1
3011	2
3012	3
3013	3
3015	3
3016	1
3017	2
3018	1
3019	1
3020	2
3022	2
3023	1
3025	1
3028	4
3029	2
