context	total	frac_of_all	discordant	frac_discordant
island	1994841	0.08029518298376048	68292	0.034234307395927796
shore	1825869	0.07349382003847714	143644	0.07867158049126197
shelf	1069599	0.04305287861250457	95799	0.08956534177761946
open_sea	19953535	0.8031581183652579	2326647	0.11660324849707082
