context	total	frac_of_all	discordant	frac_discordant
island	2058295	0.07700958732967532	56003	0.02720844193859481
shore	1892116	0.07079212277145693	111711	0.059040249117918775
shelf	1110392	0.04154449663151921	74625	0.06720599572043026
open_sea	21666973	0.8106537932673485	2026581	0.09353318527696508
